French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
un centimètre,сантиметр,Deux <b>centimètres</b>.,Два <b>сантиметра</b>.,📏,m
un bec,клюв,Le <b>bec</b> de l'oiseau.,<b>Клюв</b> птицы.,🐦,m
un carré,квадрат,Un <b>carré</b> parfait.,Идеальный <b>квадрат</b>.,⬜,m
un maximum,максимум,Fais le <b>maximum</b>.,Сделай <b>максимум</b>.,💯,m
un scénario,сценарий,Le <b>scénario</b> du film.,<b>Сценарий</b> фильма.,🎬,m
une civilisation,цивилизация,Une ancienne <b>civilisation</b>.,Древняя <b>цивилизация</b>.,🏛️,f
"un pasteur, une pasteure",пастор,Le <b>pasteur</b> prêche.,<b>Пастор</b> проповедует.,⛪,m/f
dérober,красть,On lui a <b>dérobé</b> son sac.,У него <b>украли</b> сумку.,🎒,v
nouer,завязывать,<b>Noue</b> ta cravate.,<b>Завяжи</b> галстук.,👔,v
une douzaine,дюжина,Une <b>douzaine</b> d'œufs.,<b>Дюжина</b> яиц.,🥚,f
un associé,партнёр (компаньон),Mon <b>associé</b> d'affaires.,Мой деловой <b>партнёр</b>.,🤝,m
une pizza,пицца,Une <b>pizza</b> au fromage.,<b>Пицца</b> с сыром.,🍕,f
un mont,гора,Le <b>Mont</b>-Royal.,<b>Гора</b> Рояль.,⛰️,m
"amical, amicale",дружеский,Une relation <b>amicale</b>.,<b>Дружеские</b> отношения.,🤝,adj
une tragédie,трагедия,Quelle <b>tragédie</b> !,Какая <b>трагедия</b>!,😢,f
un soutien,поддержка,Merci pour ton <b>soutien</b>.,Спасибо за <b>поддержку</b>.,💪,m
un coq,петух,Le <b>coq</b> chante.,<b>Петух</b> кукарекает.,🐓,m
"essentiel, essentielle",существенный,C'est <b>essentiel</b>.,Это <b>существенно</b>.,⭐,adj
un tablier,фартук,Mets ton <b>tablier</b>.,Надень <b>фартук</b>.,👨‍🍳,m
café,кофейный (цвет),Des yeux <b>café</b>.,<b>Кофейные</b> глаза.,☕,adj
cingler,хлестать,Le vent <b>cingle</b> le visage.,Ветер <b>хлещет</b> по лицу.,💨,v
draguer,клеить (разг.); драгировать,Il essaie de me <b>draguer</b>.,Он пытается меня <b>склеить</b>.,😏,v
un bourgeois,буржуа,Un <b>bourgeois</b> du quartier.,<b>Буржуа</b> из квартала.,🎩,m
une sympathie,симпатия,J'ai de la <b>sympathie</b> pour lui.,Я испытываю к нему <b>симпатию</b>.,❤️,f
un remède,лекарство; средство,Un <b>remède</b> contre le rhume.,<b>Средство</b> от простуды.,💊,m
une cervelle,мозг (разг.),Il n'a pas de <b>cervelle</b>.,У него нет <b>мозгов</b>.,🧠,f
un malheureux,несчастный,C'est un <b>malheureux</b>.,Это <b>несчастный</b> человек.,😢,m
pêcher,рыбачить,J'aime <b>pêcher</b> au lac.,Я люблю <b>рыбачить</b> на озере.,🎣,v
une clarté,ясность,La <b>clarté</b> du ciel.,<b>Ясность</b> неба.,☀️,f
un drifter,бродяга; дрифтер,Ce <b>drifter</b> voyage sans but.,Этот <b>бродяга</b> путешествует без цели.,🚗,m
un seau,ведро,Un <b>seau</b> d'eau.,<b>Ведро</b> воды.,🪣,m
un volume,объём; том,Le <b>volume</b> du son.,<b>Громкость</b> звука.,🔊,m
une dimension,размер,Les <b>dimensions</b> de la pièce.,<b>Размеры</b> комнаты.,📐,f
un robot,робот,Le <b>robot</b> fonctionne bien.,<b>Робот</b> работает хорошо.,🤖,m
un stade,стадион; стадия,Le <b>stade</b> olympique.,Олимпийский <b>стадион</b>.,🏟️,m
un salopard,подонок (груб.),Quel <b>salopard</b> !,Какой <b>подонок</b>!,🤬,m
une veuve,вдова,Elle est <b>veuve</b>.,Она <b>вдова</b>.,🖤,f
un possible,возможное,Fais le <b>possible</b>.,Сделай всё <b>возможное</b>.,💯,m
une brigade,бригада,La <b>brigade</b> de police.,Полицейская <b>бригада</b>.,🚔,f
un crépuscule,сумерки,Au <b>crépuscule</b>.,В <b>сумерках</b>.,🌅,m
légitime,законный,C'est une demande <b>légitime</b>.,Это <b>законное</b> требование.,⚖️,adj
une paroi,стенка,La <b>paroi</b> de la grotte.,<b>Стенка</b> пещеры.,🧱,f
"conscient, consciente",сознательный,Il est <b>conscient</b> du danger.,Он <b>осознаёт</b> опасность.,🧠,adj
bander,напрягать; возбуждаться,<b>Bander</b> ses muscles.,<b>Напрягать</b> мышцы.,💪,v
"ravissant, ravissante",восхитительный,Elle est <b>ravissante</b>.,Она <b>восхитительна</b>.,😍,adj
un tailleur,портной; костюм,Le <b>tailleur</b> fait des vêtements.,<b>Портной</b> шьёт одежду.,🪡,m
une dispute,ссора,Après la <b>dispute</b>.,После <b>ссоры</b>.,😤,f
un nid,гнездо,Le <b>nid</b> d'oiseau.,Птичье <b>гнездо</b>.,🪺,m
une touche,клавиша; штрих,La <b>touche</b> du clavier.,<b>Клавиша</b> клавиатуры.,⌨️,f
un parking,парковка,Le <b>parking</b> est plein.,<b>Парковка</b> полна.,🅿️,m
un choeur,хор,Le <b>chœur</b> chante.,<b>Хор</b> поёт.,🎤,m
un pneu,шина,Le <b>pneu</b> est crevé.,<b>Шина</b> спущена.,🚗,m
un accueil,приём; встреча,Un chaleureux <b>accueil</b>.,Тёплый <b>приём</b>.,🤗,m
une autoroute,автострада,Prends l'<b>autoroute</b>.,Выезжай на <b>автостраду</b>.,🛣️,f
"réfléchi, réfléchie",обдуманный,Une décision <b>réfléchie</b>.,<b>Обдуманное</b> решение.,🤔,adj
un couvert,прибор (столовый),Mets les <b>couverts</b>.,Накрой на стол.,🍴,m
tousser,кашлять,Je <b>tousse</b> beaucoup.,Я много <b>кашляю</b>.,😷,v
humble,скромный,Il est très <b>humble</b>.,Он очень <b>скромный</b>.,😌,adj
un lot,партия; лот,Un <b>lot</b> de marchandises.,<b>Партия</b> товара.,📦,m
efficace,эффективный,Un remède <b>efficace</b>.,<b>Эффективное</b> средство.,💊,adj
un calcul,расчёт,Un <b>calcul</b> mental.,Устный <b>расчёт</b>.,🔢,m
un massacre,резня,Quel <b>massacre</b> !,Какая <b>бойня</b>!,⚔️,m
une indépendance,независимость,L'<b>indépendance</b> du pays.,<b>Независимость</b> страны.,🗽,f
"coupé, coupée",обрезанный,La ligne est <b>coupée</b>.,Связь <b>прервана</b>.,📵,adj
"correct, correcte",правильный,C'est <b>correct</b>.,Это <b>правильно</b>.,✅,adj
"criminel, criminelle",преступный,Un acte <b>criminel</b>.,<b>Преступное</b> деяние.,🔒,adj
"mondial, mondiale",мировой,La guerre <b>mondiale</b>.,<b>Мировая</b> война.,🌍,adj
une espérance,надежда,L'<b>espérance</b> de vie.,Продолжительность <b>жизни</b>.,❤️,f
un frigo,холодильник (разг.),Mets ça au <b>frigo</b>.,Положи это в <b>холодильник</b>.,🧊,m
un valet,лакей; валет,Le <b>valet</b> de chambre.,<b>Лакей</b>.,🃏,m
une batterie,батарея; барабаны,La <b>batterie</b> est vide.,<b>Батарея</b> разряжена.,🔋,f
un vice,порок,C'est son <b>vice</b>.,Это его <b>порок</b>.,😈,m
un cerf,олень,Le <b>cerf</b> court.,<b>Олень</b> бежит.,🦌,m
une mousse,пена; мох,La <b>mousse</b> de bière.,Пивная <b>пена</b>.,🍺,f
assommer,оглушать,Il l'a <b>assommé</b>.,Он его <b>оглушил</b>.,💫,v
"indifférent, indifférente",безразличный,Il reste <b>indifférent</b>.,Он остаётся <b>безразличным</b>.,😐,adj
expédier,отправлять,<b>Expédie</b> le colis.,<b>Отправь</b> посылку.,📮,v
une destruction,разрушение,La <b>destruction</b> totale.,Полное <b>разрушение</b>.,💥,f
"abandonné, abandonnée",заброшенный,Une maison <b>abandonnée</b>.,<b>Заброшенный</b> дом.,🏚️,adj
une alarme,тревога,L'<b>alarme</b> sonne.,<b>Сигнализация</b> звучит.,🚨,f
une vocation,призвание,C'est ma <b>vocation</b>.,Это моё <b>призвание</b>.,💫,f
un murmure,шёпот,Un <b>murmure</b> à l'oreille.,<b>Шёпот</b> на ухо.,🤫,m
ramper,ползать,Le bébé <b>rampe</b>.,Малыш <b>ползает</b>.,🐛,v
un passant,прохожий,Un <b>passant</b> m'a aidé.,<b>Прохожий</b> мне помог.,🚶,m
un jet,струя,Un <b>jet</b> d'eau.,<b>Струя</b> воды.,💧,m
un sapin,ель,Le <b>sapin</b> de Noël.,Рождественская <b>ёлка</b>.,🎄,m
un engagement,обязательство,J'ai pris un <b>engagement</b>.,Я взял на себя <b>обязательство</b>.,📝,m
une électricité,электричество,Pas d'<b>électricité</b>.,Нет <b>электричества</b>.,⚡,f
une barrière,барьер,Passe la <b>barrière</b>.,Перейди <b>барьер</b>.,🚧,f
un boeuf,бык; говядина,Un steak de <b>bœuf</b>.,Бифштекс из <b>говядины</b>.,🥩,m
un promis,жених; обещанный,C'est mon <b>promis</b>.,Это мой <b>жених</b>.,💍,m
"honteux, honteuse",постыдный,C'est <b>honteux</b>.,Это <b>постыдно</b>.,😳,adj
glacer,леденить,Son regard m'a <b>glacé</b>.,Его взгляд меня <b>заморозил</b>.,❄️,v
un tonnerre,гром,Le <b>tonnerre</b> gronde.,<b>Гром</b> гремит.,⛈️,m
pratique,практичный,C'est très <b>pratique</b>.,Это очень <b>практично</b>.,👍,adj
une marge,поле (страницы); маржа,Écris dans la <b>marge</b>.,Пиши на <b>полях</b>.,📄,f
une torture,пытка,C'est une <b>torture</b>.,Это <b>пытка</b>.,😣,f
une ardeur,пыл,Avec <b>ardeur</b>.,С <b>пылом</b>.,🔥,f
une marée,прилив,La <b>marée</b> monte.,<b>Прилив</b> наступает.,🌊,f
un pareil,подобный; такой же,C'est du <b>pareil</b> au même.,<b>Одно и то же</b>.,🟰,m
débile,дебильный (разг.),C'est <b>débile</b>.,Это <b>тупо</b>.,🙄,adj
une mairie,мэрия,La <b>mairie</b> de la ville.,<b>Мэрия</b> города.,🏛️,f
"suspect, suspecte",подозрительный,Une personne <b>suspecte</b>.,<b>Подозрительный</b> человек.,🤨,adj
"enfantin, enfantine",детский,Un jeu <b>enfantin</b>.,<b>Детская</b> игра.,🧸,adj
revivre,оживать,Je me sens <b>revivre</b>.,"Я чувствую, что <b>оживаю</b>.",🌱,v
un aîné,старший (ребёнок),C'est l'<b>aîné</b> de la famille.,Это <b>старший</b> в семье.,👦,m
un machin,штуковина (разг.),Passe-moi ce <b>machin</b>.,Дай мне эту <b>штуковину</b>.,🔧,m
un organe,орган,Un <b>organe</b> vital.,Жизненно важный <b>орган</b>.,❤️,m
évacuer,эвакуировать,<b>Évacuez</b> le bâtiment.,<b>Эвакуируйте</b> здание.,🚪,v
un pétrole,нефть,Le prix du <b>pétrole</b>.,Цена на <b>нефть</b>.,🛢️,m
une venue,приход,Depuis sa <b>venue</b>.,С его <b>прихода</b>.,👋,f
vidéo,видео,Une caméra <b>vidéo</b>.,<b>Видео</b>камера.,📹,adj
un laboratoire,лаборатория,Le <b>laboratoire</b> de recherche.,Исследовательская <b>лаборатория</b>.,🔬,m
limiter,ограничивать,<b>Limite</b> les dépenses.,<b>Ограничь</b> расходы.,📉,v
une fontaine,фонтан,La <b>fontaine</b> coule.,<b>Фонтан</b> течёт.,⛲,f
un musicien,музыкант,Un <b>musicien</b> talentueux.,Талантливый <b>музыкант</b>.,🎵,m
une intervention,вмешательство,Une <b>intervention</b> chirurgicale.,Хирургическое <b>вмешательство</b>.,🏥,f
une innocence,невинность,Prouver son <b>innocence</b>.,Доказать свою <b>невиновность</b>.,😇,f
grogner,ворчать; рычать,Le chien <b>grogne</b>.,Собака <b>рычит</b>.,🐕,v
attarder,задерживаться,Ne t'<b>attarde</b> pas.,Не <b>задерживайся</b>.,⏰,v
un blouson,куртка,Mets ton <b>blouson</b>.,Надень <b>куртку</b>.,🧥,m
un ruban,лента,Un <b>ruban</b> rouge.,Красная <b>лента</b>.,🎀,m
un portail,ворота; портал,Le <b>portail</b> s'ouvre.,<b>Ворота</b> открываются.,🚪,m
confortable,удобный,Un fauteuil <b>confortable</b>.,<b>Удобное</b> кресло.,🛋️,adj
un tireur,стрелок,Un bon <b>tireur</b>.,Хороший <b>стрелок</b>.,🎯,m
un ruisseau,ручей,Le <b>ruisseau</b> coule.,<b>Ручей</b> течёт.,🏞️,m
provenir,происходить,D'où <b>provient</b> ce bruit ?,Откуда <b>исходит</b> этот шум?,🤔,v
orner,украшать,<b>Orne</b> le sapin.,<b>Укрась</b> ёлку.,🎄,v
gronder,ругать; грохотать,Papa me <b>gronde</b>.,Папа меня <b>ругает</b>.,😠,v
émerger,всплывать,La vérité <b>émerge</b>.,Правда <b>всплывает</b>.,💡,v
paniquer,паниковать,Ne <b>panique</b> pas !,Не <b>паникуй</b>!,😱,v
man,чувак (англ.),"Salut, <b>man</b> !","Привет, <b>чувак</b>!",🤙,m
désespérer,отчаиваться,Ne <b>désespère</b> pas.,Не <b>отчаивайся</b>.,😔,v
désagréable,неприятный,Une odeur <b>désagréable</b>.,<b>Неприятный</b> запах.,😒,adj
choquer,шокировать,Ça m'a <b>choqué</b>.,Это меня <b>шокировало</b>.,😲,v
une banlieue,пригород,La <b>banlieue</b> de Paris.,<b>Пригород</b> Парижа.,🏘️,f
"impatient, impatiente",нетерпеливый,Je suis <b>impatient</b>.,Я <b>нетерпелив</b>.,⏳,adj
un chariot,тележка,Le <b>chariot</b> de courses.,Продуктовая <b>тележка</b>.,🛒,m
un défi,вызов,C'est un <b>défi</b>.,Это <b>вызов</b>.,💪,m
une ressource,ресурс,Les <b>ressources</b> naturelles.,Природные <b>ресурсы</b>.,🌲,f
volontaire,добровольный,Un acte <b>volontaire</b>.,<b>Добровольный</b> поступок.,🙋,adj
un index,указатель; индекс,L'<b>index</b> du livre.,<b>Указатель</b> книги.,📖,m
convoquer,вызывать; созывать,On m'a <b>convoqué</b>.,Меня <b>вызвали</b>.,📩,v
un département,департамент; отдел,Le <b>département</b> des ventes.,<b>Отдел</b> продаж.,🏢,m
faucher,косить; красть (разг.),On m'a <b>fauché</b> mon vélo.,У меня <b>украли</b> велосипед.,🚲,v
une tribu,племя,Une <b>tribu</b> africaine.,Африканское <b>племя</b>.,🏕️,f
une guitare,гитара,Jouer de la <b>guitare</b>.,Играть на <b>гитаре</b>.,🎸,f
un sous-titre,субтитр,Le film a des <b>sous-titres</b>.,Фильм с <b>субтитрами</b>.,📝,m
indispensable,необходимый,C'est <b>indispensable</b>.,Это <b>необходимо</b>.,❗,adj
"précédent, précédente",предыдущий,Le jour <b>précédent</b>.,<b>Предыдущий</b> день.,⏮️,adj
une onde,волна,Les <b>ondes</b> radio.,Радио<b>волны</b>.,📻,f
une répétition,репетиция; повторение,La <b>répétition</b> du spectacle.,<b>Репетиция</b> спектакля.,🎭,f
un proche,близкий человек,Mes <b>proches</b>.,Мои <b>близкие</b>.,👨‍👩‍👧,m
une tire,машина (кан. разг.),Belle <b>tire</b> !,Красивая <b>тачка</b>!,🚗,f
lasser,утомлять; надоедать,Ça me <b>lasse</b>.,Мне это <b>надоедает</b>.,😫,v
un adolescent,подросток,Un groupe d'<b>adolescents</b>.,Группа <b>подростков</b>.,👦,m
un aller,билет в одну сторону,Un <b>aller</b> simple.,Билет <b>в один конец</b>.,🎫,m
une création,создание,La <b>création</b> artistique.,Художественное <b>творчество</b>.,🎨,f
une mâchoire,челюсть,La <b>mâchoire</b> inférieure.,Нижняя <b>челюсть</b>.,😬,f
un délai,срок,Respecte le <b>délai</b>.,Соблюдай <b>сроки</b>.,⏰,m
une banquette,скамья; диванчик,Assieds-toi sur la <b>banquette</b>.,Садись на <b>диванчик</b>.,🪑,f
un beau-frère,зять; деверь; шурин,C'est mon <b>beau-frère</b>.,Это мой <b>зять</b>.,👨,m
technique,технический,Un problème <b>technique</b>.,<b>Техническая</b> проблема.,🔧,adj
une démocratie,демократия,La <b>démocratie</b> canadienne.,Канадская <b>демократия</b>.,🗳️,f
traquer,преследовать,<b>Traquer</b> le criminel.,<b>Выслеживать</b> преступника.,🔍,v
une assistance,помощь; присутствующие,Avec votre <b>assistance</b>.,С вашей <b>помощью</b>.,🤝,f
"courant, courante",текущий; обычный,Le mois <b>courant</b>.,<b>Текущий</b> месяц.,📅,adj
un civil,гражданское лицо,Des <b>civils</b> ont été blessés.,<b>Мирные жители</b> были ранены.,👥,m
un album,альбом,Mon <b>album</b> photo.,Мой фото<b>альбом</b>.,📷,m
réfugier,укрываться,Il s'est <b>réfugié</b> ici.,Он <b>укрылся</b> здесь.,🏠,v
relire,перечитывать,<b>Relis</b> le texte.,<b>Перечитай</b> текст.,📖,v
un commissariat,полицейский участок,Va au <b>commissariat</b>.,Иди в <b>полицию</b>.,🚔,m
un lecteur,читатель; проигрыватель,Le <b>lecteur</b> CD.,CD-<b>проигрыватель</b>.,💿,m
intense,интенсивный,Un travail <b>intense</b>.,<b>Интенсивная</b> работа.,💪,adj
supprimer,удалять,<b>Supprime</b> ce fichier.,<b>Удали</b> этот файл.,🗑️,v
splendide,великолепный,Une vue <b>splendide</b>.,<b>Великолепный</b> вид.,✨,adj
un expert,эксперт,C'est un <b>expert</b>.,Он <b>эксперт</b>.,🎓,m
historique,исторический,Un monument <b>historique</b>.,<b>Исторический</b> памятник.,🏛️,adj
modifier,изменять,<b>Modifie</b> le texte.,<b>Измени</b> текст.,✏️,v
une charité,милосердие,Par <b>charité</b>.,Из <b>милосердия</b>.,❤️,f
"carré, carrée",квадратный,Un mètre <b>carré</b>.,Квадратный <b>метр</b>.,⬜,adj
"un guerrier, une guerrière",воин,Un brave <b>guerrier</b>.,Храбрый <b>воин</b>.,⚔️,m/f
une oublie,вафельная трубочка,L'<b>oublie</b> est un gâteau ancien.,<b>Облатка</b> — старинное печенье.,🧇,f
une ronde,обход; хоровод,Faire une <b>ronde</b>.,Делать <b>обход</b>.,🔄,f
immobiliser,обездвиживать,<b>Immobilise</b>-le !,<b>Обездвижь</b> его!,🛑,v
un incroyable,невероятный (субст.),C'est un <b>incroyable</b> !,Это что-то <b>невероятное</b>!,😮,m
vexer,обижать,Je ne voulais pas te <b>vexer</b>.,Я не хотел тебя <b>обидеть</b>.,😢,v
un détour,обход; крюк,Fais un <b>détour</b>.,Сделай <b>крюк</b>.,🔄,m
un rien,пустяк; ничто,Un <b>rien</b> l'énerve.,Его раздражает <b>любая мелочь</b>.,🤏,m
ressusciter,воскрешать,<b>Ressusciter</b> les morts.,<b>Воскрешать</b> мёртвых.,⚡,v
une révolte,восстание,La <b>révolte</b> des esclaves.,<b>Восстание</b> рабов.,✊,f
un fan,фанат,Je suis <b>fan</b> de toi.,Я твой <b>фанат</b>.,🎉,m
une haleine,дыхание,Une mauvaise <b>haleine</b>.,Плохой запах <b>изо рта</b>.,💨,f
un conte,сказка,Un <b>conte</b> de fées.,Волшебная <b>сказка</b>.,🧚,m
un palier,лестничная площадка,Sur le <b>palier</b>.,На <b>лестничной площадке</b>.,🚪,m
irriter,раздражать,Ça m'<b>irrite</b>.,Это меня <b>раздражает</b>.,😤,v
un malaise,недомогание,J'ai un <b>malaise</b>.,Мне <b>нехорошо</b>.,😵,m
une réussite,успех,Quelle <b>réussite</b> !,Какой <b>успех</b>!,🏆,f
minable,жалкий (разг.),Un salaire <b>minable</b>.,<b>Жалкая</b> зарплата.,😒,adj
entasser,нагромождать,<b>Entasse</b> les boîtes.,<b>Сложи</b> коробки.,📦,v
une ruse,хитрость,C'est une <b>ruse</b>.,Это <b>хитрость</b>.,🦊,f
rédiger,составлять; редактировать,<b>Rédige</b> une lettre.,<b>Напиши</b> письмо.,✍️,v
un cachet,печать; гонорар,Le <b>cachet</b> de l'artiste.,<b>Гонорар</b> артиста.,💰,m
un casier,шкафчик; судимость,Mon <b>casier</b> judiciaire.,Моя <b>судимость</b>.,📁,m
un as,туз,L'<b>as</b> de pique.,<b>Туз</b> пик.,🃏,m
un sanglot,рыдание,Éclater en <b>sanglots</b>.,Разразиться <b>рыданиями</b>.,😭,m
un conflit,конфликт,Un <b>conflit</b> armé.,Вооружённый <b>конфликт</b>.,⚔️,m
une prime,премия,Une <b>prime</b> de fin d'année.,Годовая <b>премия</b>.,💵,f
contraindre,принуждать,On l'a <b>contraint</b> à partir.,Его <b>принудили</b> уйти.,✋,v
disperser,рассеивать,Le vent <b>disperse</b> les nuages.,Ветер <b>рассеивает</b> облака.,💨,v
"parisien, parisienne",парижский,La vie <b>parisienne</b>.,<b>Парижская</b> жизнь.,🗼,adj
un chrétien,христианин,C'est un <b>chrétien</b>.,Он <b>христианин</b>.,✝️,m
associer,связывать; ассоциировать,J'<b>associe</b> cette odeur à l'été.,Я <b>связываю</b> этот запах с летом.,🔗,v
une cachette,тайник,Une <b>cachette</b> secrète.,Секретный <b>тайник</b>.,🙈,f
défoncer,ломать; выбивать,<b>Défonce</b> la porte !,<b>Выбей</b> дверь!,🚪,v
probable,вероятный,C'est très <b>probable</b>.,Это весьма <b>вероятно</b>.,🤔,adj
un abandon,отказ; заброшенность,L'<b>abandon</b> de poste.,<b>Оставление</b> поста.,🏚️,m
un frisson,дрожь,Un <b>frisson</b> de peur.,<b>Дрожь</b> от страха.,🥶,m
un tambour,барабан,Jouer du <b>tambour</b>.,Играть на <b>барабане</b>.,🥁,m
une publicité,реклама,La <b>publicité</b> télévisée.,Телевизионная <b>реклама</b>.,📺,f
un candidat,кандидат,Le <b>candidat</b> aux élections.,<b>Кандидат</b> на выборах.,🗳️,m
"mûr, mûre",зрелый,Un fruit <b>mûr</b>.,<b>Зрелый</b> плод.,🍎,adj
un marteau,молоток,Prends le <b>marteau</b>.,Возьми <b>молоток</b>.,🔨,m
un office,служба; ведомство,L'<b>office</b> du tourisme.,Туристическое <b>бюро</b>.,🏢,m
une précision,точность,Avec <b>précision</b>.,С <b>точностью</b>.,🎯,f
cardiaque,сердечный,Une crise <b>cardiaque</b>.,<b>Сердечный</b> приступ.,❤️,adj
février,февраль,"En <b>février</b>, il fait froid.",В <b>феврале</b> холодно.,❄️,m
"ardent, ardente",пылкий,Un amour <b>ardent</b>.,<b>Пылкая</b> любовь.,🔥,adj
un pavillon,павильон; дом,Un <b>pavillon</b> de banlieue.,<b>Дом</b> в пригороде.,🏠,m
une tempe,висок,J'ai mal aux <b>tempes</b>.,У меня болят <b>виски</b>.,😣,f
une affiche,афиша,L'<b>affiche</b> du film.,<b>Афиша</b> фильма.,🎬,f
une sirène,сирена,La <b>sirène</b> d'alarme.,<b>Сирена</b> тревоги.,🚨,f
hisser,поднимать,<b>Hisse</b> le drapeau.,<b>Подними</b> флаг.,🚩,v
une température,температура,La <b>température</b> monte.,<b>Температура</b> растёт.,🌡️,f
corriger,исправлять,<b>Corrige</b> tes erreurs.,<b>Исправь</b> свои ошибки.,✏️,v
une quantité,количество,J'ai une grande <b>quantité</b> de travail.,У меня большое <b>количество</b> работы.,📊,f
une selle,седло,La <b>selle</b> du cheval.,<b>Седло</b> лошади.,🐴,f
une défaite,поражение,Accepter la <b>défaite</b>.,Принять <b>поражение</b>.,😞,f
une serrure,замок,La <b>serrure</b> est cassée.,<b>Замок</b> сломан.,🔒,f
une fée,фея,Une <b>fée</b> magique.,Волшебная <b>фея</b>.,🧚,f
un caporal,капрал,Le <b>caporal</b> commande les soldats.,<b>Капрал</b> командует солдатами.,🎖️,m
un spectateur,зритель,Les <b>spectateurs</b> applaudissent.,<b>Зрители</b> аплодируют.,👏,m
"inattendu, inattendue",неожиданный,Une visite <b>inattendue</b>.,<b>Неожиданный</b> визит.,😮,adj
une manivelle,рукоятка,Tourne la <b>manivelle</b>.,Поверни <b>рукоятку</b>.,🔧,f
confesser,исповедовать,Se <b>confesser</b> au prêtre.,<b>Исповедоваться</b> священнику.,⛪,v
"monstrueux, monstrueuse",чудовищный,Un crime <b>monstrueux</b>.,<b>Чудовищное</b> преступление.,😱,adj
un moi,эго; я (субст.),Le <b>moi</b> est haïssable.,<b>Эго</b> отвратительно.,🧠,m
innombrable,бесчисленный,D'<b>innombrables</b> étoiles.,<b>Бесчисленные</b> звёзды.,⭐,adj
une lance,копьё,La <b>lance</b> du chevalier.,<b>Копьё</b> рыцаря.,🗡️,f
une coïncidence,совпадение,Quelle <b>coïncidence</b> !,Какое <b>совпадение</b>!,🤯,f
"subtil, subtile",тонкий,Une différence <b>subtile</b>.,<b>Тонкая</b> разница.,🧐,adj
investir,инвестировать,<b>Investir</b> dans l'immobilier.,<b>Инвестировать</b> в недвижимость.,💰,v
un pin,сосна,Un <b>pin</b> sylvestre.,Лесная <b>сосна</b>.,🌲,m
parti,ушедший; отправившийся,Il est <b>parti</b> ce matin.,Он <b>уехал</b> утром.,🚶,adj
une camionnette,фургон,Une <b>camionnette</b> de livraison.,Грузовой <b>фургон</b>.,🚐,f
une rupture,разрыв,Une <b>rupture</b> amoureuse.,<b>Разрыв</b> отношений.,💔,f
un balai,метла,Le <b>balai</b> de sorcière.,<b>Метла</b> ведьмы.,🧹,m
coudre,шить,<b>Coudre</b> un bouton.,<b>Пришить</b> пуговицу.,🧵,v
assumer,брать на себя,<b>Assume</b> tes actes.,<b>Отвечай</b> за свои действия.,💪,v
une chiotte,сортир (груб.),Je vais aux <b>chiottes</b>.,Я иду в <b>сортир</b>.,🚽,f
griller,жарить на гриле,<b>Grille</b> la viande.,<b>Поджарь</b> мясо.,🥩,v
"creux, creuse",пустой,Un arbre <b>creux</b>.,<b>Полое</b> дерево.,🌳,adj
hostile,враждебный,Un environnement <b>hostile</b>.,<b>Враждебная</b> среда.,😠,adj
négliger,пренебрегать,Ne <b>néglige</b> pas ta santé.,Не <b>пренебрегай</b> здоровьем.,⚠️,v
tricher,жульничать,Ne <b>triche</b> pas !,Не <b>жульничай</b>!,🃏,v
un néant,небытие,Le <b>néant</b> absolu.,Абсолютное <b>небытие</b>.,🕳️,m
une vodka,водка,Un verre de <b>vodka</b>.,Стакан <b>водки</b>.,🍸,f
graver,гравировать,<b>Grave</b> ton nom.,<b>Выгравируй</b> своё имя.,✍️,v
un étonnement,удивление,Avec <b>étonnement</b>.,С <b>удивлением</b>.,😮,m
engueuler,ругать (разг.),Papa m'a <b>engueulé</b>.,Папа меня <b>отругал</b>.,😤,v
une foudre,молния,Frappé par la <b>foudre</b>.,Поражённый <b>молнией</b>.,⚡,f
une baignoire,ванна,La <b>baignoire</b> est pleine.,<b>Ванна</b> полна.,🛁,f
un cristal,кристалл,Un vase en <b>cristal</b>.,Ваза из <b>хрусталя</b>.,💎,m
atroce,ужасный,Une douleur <b>atroce</b>.,<b>Ужасная</b> боль.,😱,adj
aboutir,приводить к,<b>Aboutir</b> à un résultat.,<b>Прийти</b> к результату.,🎯,v
un maillot,майка; купальник,Un <b>maillot</b> de bain.,<b>Купальник</b>.,👙,m
un major,майор,Le <b>major</b> dirige le bataillon.,<b>Майор</b> командует батальоном.,🎖️,m
"reçu, reçue",полученный,Bien <b>reçu</b>.,<b>Получено</b>.,✅,adj
un violon,скрипка,Jouer du <b>violon</b>.,Играть на <b>скрипке</b>.,🎻,m
une formation,обучение; формирование,Une <b>formation</b> professionnelle.,Профессиональное <b>обучение</b>.,📚,f
encombrer,загромождать,N'<b>encombre</b> pas le couloir.,Не <b>загромождай</b> коридор.,📦,v
un excès,излишество,Un <b>excès</b> de vitesse.,<b>Превышение</b> скорости.,🚗,m
déterminer,определять,<b>Déterminer</b> la cause.,<b>Определить</b> причину.,🔍,v
"impressionnant, impressionnante",впечатляющий,Un spectacle <b>impressionnant</b>.,<b>Впечатляющее</b> зрелище.,✨,adj
une fidélité,верность,La <b>fidélité</b> conjugale.,Супружеская <b>верность</b>.,❤️,f
une foire,ярмарка,La <b>foire</b> de Montréal.,Монреальская <b>ярмарка</b>.,🎡,f
ricaner,хихикать,Il <b>ricane</b> bêtement.,Он глупо <b>хихикает</b>.,😏,v
