French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
clairement,ясно,C'est <b>clairement</b> faux.,Это <b>явно</b> неправда.,💡,adv
bah,ну; да ладно,"<b>Bah</b>, ce n'est pas grave.","<b>Ну</b>, это не страшно.",🤷,interj
dehors,снаружи; на улице,"Il fait froid <b>dehors</b>, mets ton manteau.","На <b>улице</b> холодно, надень пальто.",🌲,interj
lourd,тяжело; сильно,Ça pèse <b>lourd</b>.,Это <b>весит много</b>.,⚖️,adv
la plupart,большинство,<b>La plupart</b> des gens sont gentils.,<b>Большинство</b> людей добрые.,👥,pron
dommage,жаль (межд.),C'est <b>dommage</b> !,<b>Жаль</b>!,😔,interj
petit,маленький,C'est <b>petit</b>.,Это <b>маленькое</b>.,🐜,adv
quiconque,кто бы ни; любой,<b>Quiconque</b> peut entrer.,<b>Любой</b> может войти.,👥,pron
seize,шестнадцать,Il a <b>seize</b> ans.,Ему <b>шестнадцать</b> лет.,1️⃣6️⃣,num
normalement,обычно,"<b>Normalement</b>, je me lève tôt.",<b>Обычно</b> я встаю рано.,⏰,adv
beau,напрасно; сколько ни,"J'ai <b>beau</b> essayer, ça ne marche pas.","<b>Сколько ни</b> пытаюсь, не получается.",🤷,adv
jusque-là,до сих пор,"<b>Jusque-là</b>, tout va bien.",<b>До сих пор</b> всё хорошо.,📍,adv
drôlement,ужасно (разг.); смешно,C'est <b>drôlement</b> bien.,Это <b>ужасно</b> хорошо.,😄,adv
mêmes,те же самые,Les <b>mêmes</b> personnes.,<b>Те же</b> люди.,👥,pron
ha,ха! а!,"<b>Ha</b>, je t'ai eu !","<b>Ха</b>, попался!",😆,interj
soigneusement,тщательно,<b>Soigneusement</b> préparé.,<b>Тщательно</b> подготовлено.,✅,adv
pratiquement,практически,C'est <b>pratiquement</b> fait.,Это <b>практически</b> готово.,✅,adv
extrêmement,крайне,C'est <b>extrêmement</b> rare.,Это <b>крайне</b> редко.,❗,adv
gentiment,мило,Il a <b>gentiment</b> refusé.,Он <b>мягко</b> отказался.,😊,adv
vivement,живо; очень,<b>Vivement</b> les vacances !,<b>Скорей бы</b> каникулы!,🏖️,adv
dix-huit,восемнадцать,Elle a <b>dix-huit</b> ans.,Ей <b>восемнадцать</b> лет.,1️⃣8️⃣,num
définitivement,окончательно,C'est <b>définitivement</b> fini.,Это <b>окончательно</b> кончено.,✅,adv
bye,пока (англ.),"<b>Bye</b>, à plus !","<b>Пока</b>, до скорого!",👋,interj
décidément,определённо,"<b>Décidément</b>, tu as raison.","<b>Определённо</b>, ты прав.",💡,adv
régulièrement,регулярно,Je m'entraîne <b>régulièrement</b>.,Я <b>регулярно</b> тренируюсь.,📅,adv
moitié,наполовину,La bouteille est <b>moitié</b> pleine.,Бутылка <b>наполовину</b> полная.,½,adv
aïe,ай! ой!,"<b>Aïe</b>, ça fait mal !","<b>Ай</b>, больно!",😣,interj
largement,широко; намного,<b>Largement</b> suffisant.,<b>Более чем</b> достаточно.,✅,adv
vachement,очень (разг.),C'est <b>vachement</b> bien.,Это <b>очень</b> хорошо.,👍,adv
soi-même,самому себе,Il faut le faire <b>soi-même</b>.,Нужно сделать <b>самому</b>.,👤,pron
ho,эй! о!,"<b>Ho</b>, attends-moi !","<b>Эй</b>, подожди!",📢,interj
qu,что (перед гласной),Je sais <b>qu'</b>il viendra.,"Я знаю, <b>что</b> он придёт.",📎,conj
quelques-uns,некоторые (м.р.),<b>Quelques-uns</b> sont restés.,<b>Некоторые</b> остались.,👥,pron
visiblement,видимо,"<b>Visiblement</b>, il est fâché.","<b>Видимо</b>, он сердит.",👀,adv
dessous,снизу; внизу,Regarde <b>dessous</b>.,Посмотри <b>снизу</b>.,⬇️,adv
concernant,относительно,<b>Concernant</b> ton problème...,<b>Относительно</b> твоей проблемы...,📌,prep
duquel,которого (предл.),L'homme <b>duquel</b> je parle.,"Мужчина, <b>о котором</b> я говорю.",❓,pron
sincèrement,искренне,"<b>Sincèrement</b>, je ne sais pas.","<b>Честно</b>, я не знаю.",🤷,adv
nous-mêmes,сами (мы),Nous l'avons fait <b>nous-mêmes</b>.,Мы сделали это <b>сами</b>.,👥,pron
infiniment,бесконечно,<b>Infiniment</b> reconnaissant.,<b>Бесконечно</b> благодарен.,♾️,adv
terriblement,ужасно,<b>Terriblement</b> fatigué.,<b>Ужасно</b> устал.,😫,adv
quatorze,четырнадцать,Il a <b>quatorze</b> ans.,Ему <b>четырнадцать</b> лет.,1️⃣4️⃣,num
amen,аминь,<b>Amen</b> à cela !,<b>Аминь</b>!,🙏,interj
carrément,напрямик (разг.),<b>Carrément</b> incroyable.,<b>Просто</b> невероятно.,😮,adv
treize,тринадцать,Vendredi <b>treize</b>.,Пятница <b>тринадцатое</b>.,1️⃣3️⃣,num
auxquels,которым (м.р.),Les gens <b>auxquels</b> je pense.,"Люди, <b>о которых</b> я думаю.",❓,pron
court,коротко,Couper <b>court</b>.,<b>Прервать</b>.,✂️,adv
gravement,серьёзно,Il est <b>gravement</b> blessé.,Он <b>серьёзно</b> ранен.,🏥,adv
spécialement,специально,<b>Spécialement</b> pour toi.,<b>Специально</b> для тебя.,🎁,adv
au-dessous,ниже; внизу,Il habite <b>au-dessous</b>.,Он живёт <b>ниже</b>.,⬇️,adv
soixante,шестьдесят,Il a <b>soixante</b> ans.,Ему <b>шестьдесят</b> лет.,6️⃣0️⃣,num
généralement,обычно,"<b>Généralement</b>, je me lève tôt.",<b>Обычно</b> я встаю рано.,⏰,adv
les ténèbres,тьма; мрак,Les <b>ténèbres</b> de la nuit.,<b>Тьма</b> ночи.,🌑,f pl
discrètement,незаметно,Il est parti <b>discrètement</b>.,Он <b>незаметно</b> ушёл.,🤫,adv
voire,даже,"Difficile, <b>voire</b> impossible.","Сложно, <b>даже</b> невозможно.",😮,adv
constamment,постоянно,Il pleut <b>constamment</b>.,Дождь идёт <b>постоянно</b>.,🌧️,adv
zut,чёрт! блин!,"<b>Zut</b>, j'ai oublié mes clés !","<b>Чёрт</b>, я забыл ключи!",😤,interj
auxquelles,которым (ж.р.),Les femmes <b>auxquelles</b> je pense.,"Женщины, <b>о которых</b> я думаю.",❓,pron
brutalement,грубо,Il m'a repoussé <b>brutalement</b>.,Он <b>грубо</b> меня оттолкнул.,😠,adv
ceux-ci,эти (вот эти м.р.),<b>Ceux-ci</b> sont meilleurs.,<b>Эти</b> лучше.,👆,pron
énormément,огромно,<b>Énormément</b> de travail.,<b>Огромное</b> количество работы.,📚,adv
les moeurs,нравы; обычаи,Les <b>moeurs</b> changent.,<b>Нравы</b> меняются.,📜,f pl
ciao,чао; пока,"<b>Ciao</b>, à demain !","<b>Чао</b>, до завтра!",👋,interj
les funérailles,похороны,Les <b>funérailles</b> ont eu lieu.,<b>Похороны</b> состоялись.,⚰️,f pl
naguère,некогда,"<b>Naguère</b>, il était roi.",<b>Некогда</b> он был королём.,👑,adv
halte,стой! привал!,<b>Halte</b>-là !,<b>Стой</b>!,🛑,interj
net,чисто; резко,Couper <b>net</b>.,<b>Резко</b> оборвать.,✂️,adv
dix-sept,семнадцать,Il a <b>dix-sept</b> ans.,Ему <b>семнадцать</b> лет.,1️⃣7️⃣,num
nettement,отчётливо,<b>Nettement</b> meilleur.,<b>Значительно</b> лучше.,📈,adv
violemment,яростно,Réagir <b>violemment</b>.,Реагировать <b>яростно</b>.,😤,adv
mince,тонкий; стройный,Elle est très <b>mince</b>.,Она очень <b>стройная</b>.,👩,interj
unes,одни (неопр. ж.р.),Les <b>unes</b> et les autres.,<b>Одни</b> и другие.,👩‍👩‍👧,pron
sitôt,тотчас,"<b>Sitôt</b> dit, sitôt fait.",Сказано — <b>сделано</b>.,⚡,adv
après-demain,послезавтра,On se voit <b>après-demain</b>.,Увидимся <b>послезавтра</b>.,📅,adv
attentivement,внимательно,Écoute <b>attentivement</b>.,Слушай <b>внимательно</b>.,👂,adv
contrairement,вопреки,<b>Contrairement</b> à toi.,<b>Вопреки</b> тебе.,↔️,adv
les maths,математика (разг.),Je suis nul en <b>maths</b>.,Я плох в <b>математике</b>.,🔢,f pl
machinalement,машинально,Répondre <b>machinalement</b>.,Отвечать <b>машинально</b>.,🤖,adv
soit,пусть; или; будь,"<b>Soit</b> tu viens, <b>soit</b> tu restes.","<b>Либо</b> ты идёшь, <b>либо</b> остаёшься.",🔀,adv
librement,свободно,Parler <b>librement</b>.,Говорить <b>свободно</b>.,🗣️,adv
proprement,собственно; чисто,<b>Proprement</b> dit.,<b>Собственно</b> говоря.,📌,adv
officiellement,официально,<b>Officiellement</b> annoncé.,<b>Официально</b> объявлено.,📢,adv
calmement,спокойно,Parler <b>calmement</b>.,Говорить <b>спокойно</b>.,😌,adv
bizarrement,странно,"<b>Bizarrement</b>, il est parti.","<b>Странно</b>, он ушёл.",🤨,adv
près de,около; почти,<b>Près de</b> cent personnes.,<b>Около</b> ста человек.,📍,adv
autrui,другие (люди),Respecter <b>autrui</b>.,Уважать <b>других</b>.,👥,pron
subitement,внезапно,"<b>Subitement</b>, il est parti.",<b>Внезапно</b> он ушёл.,⚡,adv
fortement,сильно,<b>Fortement</b> recommandé.,<b>Настоятельно</b> рекомендуется.,💪,adv
correctement,правильно,Répondre <b>correctement</b>.,Ответить <b>правильно</b>.,✅,adv
les grands-parents,бабушки и дедушки,Mes <b>grands-parents</b> habitent à la campagne.,Мои <b>бабушка и дедушка</b> живут в деревне.,👴👵,m pl
éternellement,вечно,Attendre <b>éternellement</b>.,Ждать <b>вечно</b>.,⏳,adv
physiquement,физически,<b>Physiquement</b> épuisé.,<b>Физически</b> истощён.,😫,adv
quasi,почти,<b>Quasi</b> impossible.,<b>Почти</b> невозможно.,🤏,adv
yeah,да! ура!,"<b>Yeah</b>, on a gagné !","<b>Да</b>, мы победили!",🎉,interj
les entrailles,внутренности,Les <b>entrailles</b> de la terre.,<b>Недра</b> земли.,🌍,f pl
étrangement,странно,<b>Étrangement</b> silencieux.,<b>Странно</b> тихо.,🤨,adv
gaiement,весело,Chanter <b>gaiement</b>.,Петь <b>весело</b>.,🎵,adv
déjà,уже,Tu as <b>déjà</b> visité le Vieux-Québec ?,Ты <b>уже</b> был в Старом Квебеке?,✅,interj
vis-à-vis,по отношению к,<b>Vis-à-vis</b> de la loi.,<b>По отношению</b> к закону.,↔️,prep
suivant,согласно; в зависимости,<b>Suivant</b> les circonstances.,<b>В зависимости</b> от обстоятельств.,📊,prep
précédemment,ранее,Comme dit <b>précédemment</b>.,Как сказано <b>ранее</b>.,⏮️,adv
celles-ci,эти (вот эти ж.р.),<b>Celles-ci</b> sont jolies.,<b>Эти</b> красивые.,👆,pron
gare,берегись!,<b>Gare</b> à toi !,<b>Берегись</b>!,⚠️,interj
ci,здесь; вот,<b>Ci</b>-joint le document.,<b>Прилагается</b> документ.,📎,adv
littéralement,буквально,<b>Littéralement</b> mort de fatigue.,<b>Буквально</b> умираю от усталости.,📖,adv
avant-hier,позавчера,"<b>Avant-hier</b>, j'étais malade.",<b>Позавчера</b> я болел.,📅,adv
silencieusement,молча,Partir <b>silencieusement</b>.,Уйти <b>молча</b>.,🤫,adv
difficilement,трудно,<b>Difficilement</b> accessible.,<b>Труднодоступный</b>.,🧗,adv
delà,по ту сторону,Par-<b>delà</b> les montagnes.,<b>За</b> горами.,🏔️,adv
hou,у-у! бу!,"<b>Hou</b>, c'est nul !","<b>Бу</b>, это отстой!",👎,interj
dernièrement,недавно,"<b>Dernièrement</b>, j'ai voyagé.",<b>Недавно</b> я путешествовал.,📅,adv
elles-mêmes,сами (они ж.р.),Elles l'ont fait <b>elles-mêmes</b>.,Они сделали это <b>сами</b>.,👩‍👩‍👧,pron
bêtement,глупо,Répondre <b>bêtement</b>.,Глупо <b>ответить</b>.,🤦,adv
quasiment,почти,<b>Quasiment</b> terminé.,<b>Почти</b> закончено.,✅,adv
tendrement,нежно,Regarder <b>tendrement</b>.,Смотреть <b>нежно</b>.,😍,adv
durement,жёстко,Travailler <b>durement</b>.,Работать <b>усердно</b>.,💪,adv
faiblement,слабо,<b>Faiblement</b> éclairé.,<b>Слабо</b> освещённый.,💡,adv
secrètement,тайно,Agir <b>secrètement</b>.,Действовать <b>тайно</b>.,🤫,adv
grand,широко; крупно,Ouvrir <b>grand</b> les yeux.,<b>Широко</b> открыть глаза.,👀,adv
hello,привет (англ.),"<b>Hello</b>, comment ça va ?","<b>Привет</b>, как дела?",👋,interj
lourdement,тяжело,Marcher <b>lourdement</b>.,Идти <b>тяжело</b>.,🚶,adv
désespérément,отчаянно,<b>Désespérément</b> amoureux.,<b>Отчаянно</b> влюблён.,💔,adv
différemment,по-разному,Penser <b>différemment</b>.,Думать <b>по-разному</b>.,🤔,adv
doux,тихо; мягко,Tout <b>doux</b> !,<b>Тихо</b>!,🤫,adv
nullement,никоим образом,<b>Nullement</b> satisfait.,<b>Никоим образом</b> не удовлетворён.,❌,adv
soudainement,внезапно,"<b>Soudainement</b>, il partit.",<b>Внезапно</b> он ушёл.,⚡,adv
curieusement,любопытно,"<b>Curieusement</b>, il accepta.","<b>Любопытно</b>, он согласился.",🤔,adv
aisément,легко,Comprendre <b>aisément</b>.,<b>Легко</b> понять.,👌,adv
manifestement,очевидно,"<b>Manifestement</b>, il ment.","<b>Очевидно</b>, он лжёт.",🤔,adv
relativement,относительно,C'est <b>relativement</b> simple.,Это <b>относительно</b> просто.,📊,adv
strictement,строго,<b>Strictement</b> interdit.,<b>Строго</b> запрещено.,🚫,adv
purement,чисто,<b>Purement</b> et simplement.,Просто-<b>напросто</b>.,✨,adv
da,да (рус.),"<b>Da</b>, c'est russe.","<b>Да</b>, это по-русски.",🇷🇺,interj
ouah,вау! ого!,"<b>Ouah</b>, c'est génial !","<b>Вау</b>, это круто!",😮,interj
via,через,Voyager <b>via</b> Paris.,Путешествовать <b>через</b> Париж.,🛫,prep
assurément,несомненно,"<b>Assurément</b>, c'est vrai.","<b>Несомненно</b>, это правда.",✅,adv
là-dessous,под этим,Qu'est-ce qu'il y a <b>là-dessous</b> ?,Что <b>под этим</b> скрывается?,🔍,adv
poliment,вежливо,Répondre <b>poliment</b>.,Ответить <b>вежливо</b>.,🙂,adv
celles-là,те (вон те ж.р.),<b>Celles-là</b> sont belles.,<b>Те</b> красивые.,👆,pron
volontairement,намеренно,Agir <b>volontairement</b>.,Действовать <b>намеренно</b>.,🎯,adv
revoilà,вот снова,<b>Revoilà</b> le printemps !,<b>Вот снова</b> весна!,🌸,prep
indéfiniment,бесконечно,Attendre <b>indéfiniment</b>.,Ждать <b>бесконечно</b>.,⏳,adv
tristement,грустно,Sourire <b>tristement</b>.,<b>Грустно</b> улыбаться.,😔,adv
prudemment,осторожно,Avancer <b>prudemment</b>.,Продвигаться <b>осторожно</b>.,🚶,adv
fermement,твёрдо,Refuser <b>fermement</b>.,<b>Твёрдо</b> отказать.,✊,adv
ouf,уф,"<b>Ouf</b>, c'était juste !","<b>Уф</b>, еле успел!",😮‍💨,interj
patiemment,терпеливо,Attendre <b>patiemment</b>.,<b>Терпеливо</b> ждать.,⏳,adv
par-ci,тут и там,"<b>Par-ci</b>, par-là.",<b>Тут и там</b>.,📍,adv
quelques-unes,некоторые (ж.р.),<b>Quelques-unes</b> sont parties.,<b>Некоторые</b> ушли.,👩‍👩‍👧,pron
habituellement,обычно,"<b>Habituellement</b>, je me lève tôt.",<b>Обычно</b> я встаю рано.,⏰,adv
dix-neuf,девятнадцать,Il a <b>dix-neuf</b> ans.,Ему <b>девятнадцать</b> лет.,1️⃣9️⃣,num
rudement,грубо,Parler <b>rudement</b>.,Говорить <b>грубо</b>.,😤,adv
distraitement,рассеянно,Répondre <b>distraitement</b>.,Отвечать <b>рассеянно</b>.,🤔,adv
les confins,пределы; границы,Aux <b>confins</b> du monde.,На <b>краю</b> света.,🌍,m pl
exclusivement,исключительно,<b>Exclusivement</b> pour vous.,<b>Исключительно</b> для вас.,⭐,adv
étroitement,тесно,Collaborer <b>étroitement</b>.,<b>Тесно</b> сотрудничать.,🤝,adv
successivement,последовательно,<b>Successivement</b> mariée.,<b>Последовательно</b> замужем.,➡️,adv
sagement,благоразумно,Agir <b>sagement</b>.,Действовать <b>благоразумно</b>.,🧠,adv
mentalement,мысленно,Se préparer <b>mentalement</b>.,<b>Мысленно</b> подготовиться.,🧠,adv
pleinement,в полной мере,<b>Pleinement</b> satisfait.,<b>Полностью</b> удовлетворён.,✅,adv
vainement,тщетно,Essayer <b>vainement</b>.,<b>Тщетно</b> пытаться.,😔,adv
incroyablement,невероятно,<b>Incroyablement</b> beau.,<b>Невероятно</b> красивый.,🤩,adv
au-dehors,снаружи,Rester <b>au-dehors</b>.,Оставаться <b>снаружи</b>.,🚪,adv
follement,безумно,<b>Follement</b> amoureux.,<b>Безумно</b> влюблён.,❤️,adv
pareil,так же; одинаково,Faire <b>pareil</b>.,Сделать <b>так же</b>.,🟰,adv
nécessairement,обязательно,<b>Nécessairement</b> vrai.,<b>Обязательно</b> правда.,✅,adv
délicatement,деликатно,Toucher <b>délicatement</b>.,<b>Деликатно</b> трогать.,🤲,adv
au-devant,навстречу,Aller <b>au-devant</b> de quelqu'un.,Идти <b>навстречу</b> кому-то.,🚶,adv
merveilleusement,чудесно,<b>Merveilleusement</b> bien.,<b>Чудесно</b> хорошо.,✨,adv
gratuitement,бесплатно,Entrer <b>gratuitement</b>.,Войти <b>бесплатно</b>.,🆓,adv
excepté,за исключением,Tous <b>excepté</b> lui.,"Все, <b>кроме</b> него.",❌,prep
paisiblement,мирно,Dormir <b>paisiblement</b>.,<b>Мирно</b> спать.,😴,adv
péniblement,с трудом,Avancer <b>péniblement</b>.,<b>С трудом</b> продвигаться.,😓,adv
sèchement,сухо,Répondre <b>sèchement</b>.,Ответить <b>сухо</b>.,😐,adv
mollement,вяло,Répondre <b>mollement</b>.,Ответить <b>вяло</b>.,😐,adv
alias,по прозвищу,"Jean, <b>alias</b> Le Renard.","Жан, <b>по прозвищу</b> Лис.",📛,adv
exprès,нарочно,Faire <b>exprès</b>.,Делать <b>нарочно</b>.,😏,adv
hautement,весьма,<b>Hautement</b> qualifié.,<b>Весьма</b> квалифицированный.,⭐,adv
bruyamment,шумно,Parler <b>bruyamment</b>.,Говорить <b>шумно</b>.,📢,adv
outre,кроме,<b>Outre</b> cela.,<b>Кроме</b> того.,➕,adv
raide,жёсткий; крутой,La pente est <b>raide</b>.,Склон <b>крутой</b>.,⛷️,adv
fixement,пристально,Regarder <b>fixement</b>.,Смотреть <b>пристально</b>.,👁️,adv
instinctivement,инстинктивно,Agir <b>instinctivement</b>.,Действовать <b>инстинктивно</b>.,🧠,adv
précipitamment,поспешно,Partir <b>précipitamment</b>.,Уйти <b>поспешно</b>.,🏃,adv
cash,наличными,Payer <b>cash</b>.,Платить <b>наличными</b>.,💵,adv
principalement,главным образом,<b>Principalement</b> en été.,<b>Главным образом</b> летом.,📊,adv
passionnément,страстно,Aimer <b>passionnément</b>.,<b>Страстно</b> любить.,❤️‍🔥,adv
timidement,робко,Répondre <b>timidement</b>.,<b>Робко</b> отвечать.,😊,adv
alentour,вокруг,Les villages <b>alentour</b>.,Окрестные <b>деревни</b>.,🏘️,adv
desquels,которых (м.р.),Les gens <b>desquels</b> je parle.,"Люди, <b>о которых</b> я говорю.",❓,pron
publiquement,публично,Déclarer <b>publiquement</b>.,Заявить <b>публично</b>.,📢,adv
solidement,крепко,Attaché <b>solidement</b>.,<b>Крепко</b> привязанный.,💪,adv
sacrément,чертовски,<b>Sacrément</b> difficile.,<b>Чертовски</b> трудно.,😤,adv
hi,хи (смех),"<b>Hi hi hi</b>, c'est drôle !","<b>Хи-хи-хи</b>, смешно!",😂,interj
joyeusement,радостно,Chanter <b>joyeusement</b>.,Петь <b>радостно</b>.,🎵,adv
par-delà,за пределами; по ту сторону,<b>Par-delà</b> les frontières.,<b>За пределами</b> границ.,🌍,prep
obstinément,упорно; настойчиво,Refuser <b>obstinément</b>.,<b>Упорно</b> отказываться.,😤,adv
out,в ауте; вышедший,Il est <b>out</b>.,Он <b>в ауте</b>.,🚫,adv
hyper,супер; очень,C'est <b>hyper</b> bien !,Это <b>супер</b> хорошо!,🔥,adv
cruellement,жестоко,Traiter <b>cruellement</b>.,Обращаться <b>жестоко</b>.,😢,adv
instantanément,мгновенно,Réagir <b>instantanément</b>.,Реагировать <b>мгновенно</b>.,⚡,adv
ouvertement,открыто,Parler <b>ouvertement</b>.,Говорить <b>открыто</b>.,🗣️,adv
desquelles,которых (ж.р.),Les femmes <b>desquelles</b> je parle.,"Женщины, <b>о которых</b> я говорю.",❓,pron
hormis,кроме,Tous <b>hormis</b> lui.,Все <b>кроме</b> него.,➖,prep
insensiblement,незаметно,Changer <b>insensiblement</b>.,<b>Незаметно</b> меняться.,🔍,adv
soixante-dix,семьдесят,Il a <b>soixante-dix</b> ans.,Ему <b>семьдесят</b> лет.,7️⃣0️⃣,num
froidement,холодно,Répondre <b>froidement</b>.,Ответить <b>холодно</b>.,❄️,adv
illico,тотчас,Viens <b>illico</b> !,Приходи <b>тотчас</b>!,⚡,adv
affreusement,ужасно,<b>Affreusement</b> mal.,<b>Ужасно</b> плохо.,😫,adv
d'emblée,сразу,Accepter <b>d'emblée</b>.,Согласиться <b>сразу</b>.,✅,adv
moralement,морально,<b>Moralement</b> acceptable.,<b>Морально</b> приемлемо.,👼,adv
techniquement,технически,<b>Techniquement</b> possible.,<b>Технически</b> возможно.,⚙️,adv
inlassablement,неутомимо,Travailler <b>inlassablement</b>.,<b>Неутомимо</b> работать.,💪,adv
mollo,потихоньку,Vas-y <b>mollo</b> !,Иди <b>потихоньку</b>!,🐢,adv
délibérément,намеренно,Agir <b>délibérément</b>.,Действовать <b>намеренно</b>.,🎯,adv
spontanément,спонтанно,Réagir <b>spontanément</b>.,Реагировать <b>спонтанно</b>.,⚡,adv
provisoirement,временно,Habiter <b>provisoirement</b> ici.,<b>Временно</b> жить здесь.,⏰,adv
fraîchement,свежо,<b>Fraîchement</b> repeint.,<b>Свежеокрашенный</b>.,🎨,adv
confusément,смутно,Se rappeler <b>confusément</b>.,<b>Смутно</b> помнить.,🤔,adv
premièrement,во-первых,"<b>Premièrement</b>, écoutez-moi.","<b>Во-первых</b>, послушайте меня.",1️⃣,adv
maladroitement,неуклюже,Agir <b>maladroitement</b>.,Действовать <b>неуклюже</b>.,🙃,adv
fréquemment,часто,Voyager <b>fréquemment</b>.,<b>Часто</b> путешествовать.,✈️,adv
imperceptiblement,незаметно,Bouger <b>imperceptiblement</b>.,<b>Незаметно</b> двигаться.,🤫,adv
boum,бум,<b>Boum</b> ! Ça a explosé.,<b>Бум</b>! Взорвалось.,💥,interj
bof,так себе,C'était <b>bof</b>.,Было <b>так себе</b>.,😐,interj
intensément,интенсивно,Regarder <b>intensément</b>.,<b>Пристально</b> смотреть.,👁️,adv
fièrement,гордо,Marcher <b>fièrement</b>.,<b>Гордо</b> шагать.,👑,adv
séparément,раздельно,Vivre <b>séparément</b>.,Жить <b>раздельно</b>.,↔️,adv
sévèrement,сурово,Punir <b>sévèrement</b>.,<b>Сурово</b> наказать.,⚖️,adv
gratis,бесплатно,C'est <b>gratis</b>.,Это <b>бесплатно</b>.,🆓,adv
mutuellement,взаимно,S'aider <b>mutuellement</b>.,Помогать <b>взаимно</b>.,🤝,adv
ouste,вон,<b>Ouste</b> ! Sortez !,<b>Вон</b>! Выходите!,🚪,interj
à tâtons,ощупью,Avancer <b>à tâtons</b>.,Продвигаться <b>ощупью</b>.,👆,adv
légalement,законно,Agir <b>légalement</b>.,Действовать <b>законно</b>.,⚖️,adv
svp,пожалуйста (сокр.),Répondez <b>SVP</b>.,"Ответьте, <b>пожалуйста</b>.",🙏,adv
quatre-vingts,восемьдесят,Il a <b>quatre-vingts</b> ans.,Ему <b>восемьдесят</b> лет.,8️⃣0️⃣,num
éventuellement,возможно,"<b>Éventuellement</b>, on verra.","<b>Возможно</b>, посмотрим.",🤔,adv
ouh,ух,<b>Ouh</b> là là !,<b>Ух</b> ты!,😯,interj
méchamment,злобно,Répondre <b>méchamment</b>.,Ответить <b>злобно</b>.,😠,adv
salement,грязно,Jouer <b>salement</b>.,Играть <b>грязно</b>.,😤,adv
par-derrière,сзади,Attaquer <b>par-derrière</b>.,Атаковать <b>сзади</b>.,⬅️,prep
horriblement,ужасающе,<b>Horriblement</b> froid.,<b>Ужасающе</b> холодно.,🥶,adv
na,на! вот тебе!,"<b>Na</b>, prends ça !","<b>На</b>, получи!",😤,interj
diable,чёрт,<b>Diable</b> ! Que faire ?,<b>Чёрт</b>! Что делать?,😈,interj
inconsciemment,неосознанно,Agir <b>inconsciemment</b>.,Действовать <b>неосознанно</b>.,🧠,adv
mystérieusement,таинственно,Disparaître <b>mystérieusement</b>.,<b>Таинственно</b> исчезнуть.,🔮,adv
convenablement,подобающе,Se comporter <b>convenablement</b>.,Вести себя <b>подобающе</b>.,✅,adv
extraordinairement,необычайно,<b>Extraordinairement</b> doué.,<b>Необычайно</b> одарённый.,⭐,adv
ohé,эй,<b>Ohé</b> ! Quelqu'un ?,<b>Эй</b>! Есть кто?,📢,interj
brièvement,кратко,Répondre <b>brièvement</b>.,Ответить <b>кратко</b>.,📝,adv
dangereusement,опасно,<b>Dangereusement</b> proche.,<b>Опасно</b> близко.,⚠️,adv
essentiellement,по существу,<b>Essentiellement</b> correct.,<b>По существу</b> верно.,✅,adv
distinctement,отчётливо,Parler <b>distinctement</b>.,Говорить <b>отчётливо</b>.,🗣️,adv
ici-bas,здесь на земле,La vie <b>ici-bas</b>.,Жизнь <b>здесь на земле</b>.,🌍,adv
alerte,бодрый,Un esprit <b>alerte</b>.,<b>Бодрый</b> ум.,🧠,interj
holà,эй-эй,"<b>Holà</b>, du calme !","<b>Эй-эй</b>, спокойно!",✋,interj
véritablement,по-настоящему,<b>Véritablement</b> impressionnant.,<b>По-настоящему</b> впечатляюще.,✨,adv
faussement,ложно,<b>Faussement</b> accusé.,<b>Ложно</b> обвинённый.,😔,adv
conformément,согласно,<b>Conformément</b> à la loi.,<b>Согласно</b> закону.,📜,adv
solennellement,торжественно,Jurer <b>solennellement</b>.,<b>Торжественно</b> клясться.,🎭,adv
singulièrement,особенно,<b>Singulièrement</b> beau.,<b>Особенно</b> красив.,✨,adv
joliment,мило,<b>Joliment</b> décoré.,<b>Мило</b> украшено.,🎀,adv
furieusement,яростно; страшно,<b>Furieusement</b> en colère.,<b>Страшно</b> злой.,😤,adv
hourra,ура,<b>Hourra</b> ! On a gagné !,<b>Ура</b>! Мы победили!,🎉,interj
parce qu,потому что (перед гласной),<b>Parce qu'</b>il pleut.,<b>Потому что</b> идёт дождь.,🌧️,conj
à l'improviste,врасплох,Arriver <b>à l'improviste</b>.,Приехать <b>врасплох</b>.,😮,adv
posément,спокойно,Parler <b>posément</b>.,Говорить <b>спокойно</b>.,😌,adv
négligemment,небрежно,Jeter <b>négligemment</b>.,<b>Небрежно</b> бросить.,🤷,adv
franco,прямо,Parler <b>franco</b>.,Говорить <b>прямо</b>.,💬,adv
sauvagement,дико,Attaquer <b>sauvagement</b>.,<b>Дико</b> атаковать.,🐺,adv
primo,во-первых,"<b>Primo</b>, écoutez-moi.","<b>Во-первых</b>, послушайте.",1️⃣,adv
pêle-mêle,вперемешку,Tout <b>pêle-mêle</b>.,Всё <b>вперемешку</b>.,🔀,adv
rebours,наоборот; против,À <b>rebours</b> du courant.,<b>Против</b> течения.,↩️,adv
vous-mêmes,сами (вы),Faites-le <b>vous-mêmes</b>.,Сделайте это <b>сами</b>.,👥,pron
intérieurement,внутренне,Souffrir <b>intérieurement</b>.,Страдать <b>внутренне</b>.,💔,adv
nerveusement,нервно,Rire <b>nerveusement</b>.,<b>Нервно</b> смеяться.,😬,adv
